"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","DEWP_ATTRIBUTES","FRSHTT","FRSHTT_ATTRIBUTES","GUST","GUST_ATTRIBUTES","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","MXSPD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","SNDP_ATTRIBUTES","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-02","  67.1"," 4","010000",,"999.9",,"  75.2"," ","  64.4"," ","  9.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  70.7"," 4","  9.3"," 4","  5.0"," 4"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-03","  66.9"," 5","000000",,"999.9",,"  78.8"," ","  66.2"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  71.6"," 5","  8.7"," 5","  4.8"," 5"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-04","  65.8"," 4","000000",,"999.9",,"  77.0","*","  66.2"," ","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  72.5"," 4","  9.3"," 4","  5.1"," 4"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-05","  62.9"," 6","000000",,"999.9",,"  80.6"," ","  66.2"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  72.8"," 6","  9.3"," 6","  4.8"," 6"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-06","  64.1"," 6","000000",,"999.9",,"  78.8"," ","  66.2"," ","  9.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  73.4"," 6","  9.3"," 6","  4.8"," 5"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-07","  66.9"," 5","000000",,"999.9",,"  78.8"," ","  66.2"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  73.8"," 5","  9.3"," 5","  6.6"," 5"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-08","  65.6"," 6","000000",,"999.9",,"  80.6"," ","  66.2"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  73.4"," 6","  9.3"," 6","  5.3"," 6"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-09","  65.1"," 5","000000",,"999.9",,"  78.8"," ","  66.2"," ","  9.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  74.1"," 5","  9.3"," 5","  6.0"," 5"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-10","  65.3"," 4","000000",,"999.9",,"  80.6"," ","  66.2"," ","  9.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  72.9"," 4","  7.9"," 4","  4.0"," 4"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-12","  63.1"," 4","000000",,"999.9",,"  75.2","*","  66.2"," ","999.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  72.9"," 4","  9.3"," 4","  4.5"," 4"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-13","  65.8"," 4","000000",,"999.9",,"  77.0"," ","  64.4"," ","  6.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  69.8"," 4","  8.5"," 4","  3.7"," 4"
"80094099999","PALONEGRO, CO","7.1265","-73.184778","1187.8","1980-01-14","  64.4"," 4","000000",,"999.9",,"  75.2"," ","  64.4"," ","  6.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  71.6"," 4","  9.3"," 4","  1.5"," 4"
